program_type,number_of_items,start_time,end_time,time_taken,test_result
MERGESORT,351,2021-04-03 20:33:19,2021-04-03 20:33:19,1.408,True
MERGESORT,320,2021-04-03 20:33:19,2021-04-03 20:33:19,1.614,True
MERGESORT,7896,2021-04-03 20:33:19,2021-04-03 20:33:19,43.569,True
MERGESORT,445,2021-04-03 20:33:19,2021-04-03 20:33:19,1.686,True
MERGESORT,3383,2021-04-03 20:33:19,2021-04-03 20:33:19,18.980,True
MERGESORT,1323,2021-04-03 20:33:19,2021-04-03 20:33:19,6.010,True
MERGESORT,7491,2021-04-03 20:33:19,2021-04-03 20:33:19,39.694,True
MERGESORT,4656,2021-04-03 20:33:19,2021-04-03 20:33:19,31.914,True
MERGESORT,2546,2021-04-03 20:33:19,2021-04-03 20:33:19,19.991,True
MERGESORT,3938,2021-04-03 20:33:19,2021-04-03 20:33:19,19.712,True
MERGESORT,4961,2021-04-03 20:33:19,2021-04-03 20:33:19,24.777,True
MERGESORT,3005,2021-04-03 20:33:19,2021-04-03 20:33:19,14.197,True
MERGESORT,8350,2021-04-03 20:33:19,2021-04-03 20:33:19,46.101,True
MERGESORT,8340,2021-04-03 20:33:19,2021-04-03 20:33:19,45.210,True
MERGESORT,3220,2021-04-03 20:33:19,2021-04-03 20:33:19,14.990,True
MERGESORT,6973,2021-04-03 20:33:19,2021-04-03 20:33:19,35.577,True
MERGESORT,4244,2021-04-03 20:33:19,2021-04-03 20:33:19,20.275,True
MERGESORT,9487,2021-04-03 20:33:19,2021-04-03 20:33:19,50.221,True
MERGESORT,1497,2021-04-03 20:33:19,2021-04-03 20:33:19,6.413,True
MERGESORT,9597,2021-04-03 20:33:19,2021-04-03 20:33:19,51.485,True
MERGESORT,3737,2021-04-03 20:33:19,2021-04-03 20:33:19,18.023,True
MERGESORT,4951,2021-04-03 20:33:19,2021-04-03 20:33:19,24.730,True
MERGESORT,6802,2021-04-03 20:33:19,2021-04-03 20:33:19,34.738,True
MERGESORT,6854,2021-04-03 20:33:19,2021-04-03 20:33:20,34.906,True
MERGESORT,1064,2021-04-03 20:33:20,2021-04-03 20:33:20,4.302,True
MERGESORT,7828,2021-04-03 20:33:20,2021-04-03 20:33:20,39.903,True
MERGESORT,8459,2021-04-03 20:33:20,2021-04-03 20:33:20,43.869,True
MERGESORT,8477,2021-04-03 20:33:20,2021-04-03 20:33:20,43.880,True
MERGESORT,4043,2021-04-03 20:33:20,2021-04-03 20:33:20,19.162,True
MERGESORT,2564,2021-04-03 20:33:20,2021-04-03 20:33:20,11.472,True
MERGESORT,2734,2021-04-03 20:33:20,2021-04-03 20:33:20,12.450,True
MERGESORT,709,2021-04-03 20:33:20,2021-04-03 20:33:20,2.719,True
MERGESORT,9428,2021-04-03 20:33:20,2021-04-03 20:33:20,48.977,True
MERGESORT,5968,2021-04-03 20:33:20,2021-04-03 20:33:20,29.516,True
MERGESORT,424,2021-04-03 20:33:20,2021-04-03 20:33:20,1.513,True
MERGESORT,3433,2021-04-03 20:33:20,2021-04-03 20:33:20,17.022,True
MERGESORT,9129,2021-04-03 20:33:20,2021-04-03 20:33:20,50.295,True
MERGESORT,8530,2021-04-03 20:33:20,2021-04-03 20:33:20,45.049,True
MERGESORT,19,2021-04-03 20:33:20,2021-04-03 20:33:20,0.056,True
MERGESORT,2007,2021-04-03 20:33:20,2021-04-03 20:33:20,9.228,True
MERGESORT,4502,2021-04-03 20:33:20,2021-04-03 20:33:20,28.423,True
MERGESORT,7794,2021-04-03 20:33:20,2021-04-03 20:33:20,44.428,True
MERGESORT,1374,2021-04-03 20:33:20,2021-04-03 20:33:20,6.026,True
MERGESORT,5414,2021-04-03 20:33:20,2021-04-03 20:33:20,28.859,True
MERGESORT,7949,2021-04-03 20:33:20,2021-04-03 20:33:20,43.918,True
MERGESORT,4920,2021-04-03 20:33:20,2021-04-03 20:33:20,26.047,True
MERGESORT,2318,2021-04-03 20:33:20,2021-04-03 20:33:20,11.469,True
MERGESORT,7262,2021-04-03 20:33:20,2021-04-03 20:33:20,39.784,True
MERGESORT,2146,2021-04-03 20:33:20,2021-04-03 20:33:20,10.571,True
MERGESORT,3239,2021-04-03 20:33:20,2021-04-03 20:33:20,16.255,True
MERGESORT,5276,2021-04-03 20:33:20,2021-04-03 20:33:20,28.461,True
MERGESORT,6184,2021-04-03 20:33:20,2021-04-03 20:33:20,33.226,True
MERGESORT,1899,2021-04-03 20:33:20,2021-04-03 20:33:20,9.141,True
MERGESORT,2467,2021-04-03 20:33:20,2021-04-03 20:33:20,12.128,True
MERGESORT,250,2021-04-03 20:33:20,2021-04-03 20:33:20,0.889,True
MERGESORT,4499,2021-04-03 20:33:20,2021-04-03 20:33:20,23.875,True
MERGESORT,9770,2021-04-03 20:33:20,2021-04-03 20:33:20,52.867,True
MERGESORT,1944,2021-04-03 20:33:20,2021-04-03 20:33:20,9.454,True
MERGESORT,4295,2021-04-03 20:33:20,2021-04-03 20:33:20,22.287,True
MERGESORT,2527,2021-04-03 20:33:20,2021-04-03 20:33:21,11.965,True
MERGESORT,2022,2021-04-03 20:33:21,2021-04-03 20:33:21,9.206,True
MERGESORT,160,2021-04-03 20:33:21,2021-04-03 20:33:21,0.545,True
MERGESORT,7499,2021-04-03 20:33:21,2021-04-03 20:33:21,40.282,True
MERGESORT,7055,2021-04-03 20:33:21,2021-04-03 20:33:21,38.262,True
MERGESORT,7134,2021-04-03 20:33:21,2021-04-03 20:33:21,38.279,True
MERGESORT,3365,2021-04-03 20:33:21,2021-04-03 20:33:21,17.306,True
MERGESORT,3839,2021-04-03 20:33:21,2021-04-03 20:33:21,18.444,True
MERGESORT,1216,2021-04-03 20:33:21,2021-04-03 20:33:21,5.010,True
MERGESORT,1994,2021-04-03 20:33:21,2021-04-03 20:33:21,8.688,True
MERGESORT,6329,2021-04-03 20:33:21,2021-04-03 20:33:21,31.527,True
MERGESORT,6319,2021-04-03 20:33:21,2021-04-03 20:33:21,31.267,True
MERGESORT,9869,2021-04-03 20:33:21,2021-04-03 20:33:21,52.497,True
MERGESORT,9713,2021-04-03 20:33:21,2021-04-03 20:33:21,51.144,True
MERGESORT,8681,2021-04-03 20:33:21,2021-04-03 20:33:21,45.482,True
MERGESORT,3177,2021-04-03 20:33:21,2021-04-03 20:33:21,14.858,True
MERGESORT,4885,2021-04-03 20:33:21,2021-04-03 20:33:21,23.854,True
MERGESORT,4290,2021-04-03 20:33:21,2021-04-03 20:33:21,20.520,True
MERGESORT,7686,2021-04-03 20:33:21,2021-04-03 20:33:21,38.623,True
MERGESORT,6780,2021-04-03 20:33:21,2021-04-03 20:33:21,33.832,True
MERGESORT,1137,2021-04-03 20:33:21,2021-04-03 20:33:21,4.717,True
MERGESORT,6677,2021-04-03 20:33:21,2021-04-03 20:33:21,33.217,True
MERGESORT,907,2021-04-03 20:33:21,2021-04-03 20:33:21,3.605,True
MERGESORT,3862,2021-04-03 20:33:21,2021-04-03 20:33:21,18.590,True
MERGESORT,2795,2021-04-03 20:33:21,2021-04-03 20:33:21,13.174,True
MERGESORT,24,2021-04-03 20:33:21,2021-04-03 20:33:21,0.074,True
MERGESORT,242,2021-04-03 20:33:21,2021-04-03 20:33:21,0.859,True
MERGESORT,9366,2021-04-03 20:33:21,2021-04-03 20:33:21,51.756,True
MERGESORT,2617,2021-04-03 20:33:21,2021-04-03 20:33:21,12.902,True
MERGESORT,7042,2021-04-03 20:33:21,2021-04-03 20:33:21,37.332,True
MERGESORT,3947,2021-04-03 20:33:21,2021-04-03 20:33:21,19.850,True
MERGESORT,8313,2021-04-03 20:33:21,2021-04-03 20:33:21,45.318,True
MERGESORT,4988,2021-04-03 20:33:21,2021-04-03 20:33:21,25.306,True
MERGESORT,189,2021-04-03 20:33:21,2021-04-03 20:33:21,0.623,True
MERGESORT,4130,2021-04-03 20:33:21,2021-04-03 20:33:21,20.497,True
MERGESORT,9860,2021-04-03 20:33:21,2021-04-03 20:33:22,57.157,True
MERGESORT,3808,2021-04-03 20:33:22,2021-04-03 20:33:22,18.800,True
MERGESORT,3551,2021-04-03 20:33:22,2021-04-03 20:33:22,17.879,True
MERGESORT,1253,2021-04-03 20:33:22,2021-04-03 20:33:22,5.546,True
MERGESORT,9632,2021-04-03 20:33:22,2021-04-03 20:33:22,52.166,True
MERGESORT,3348,2021-04-03 20:33:22,2021-04-03 20:33:22,15.449,True
