program_type,number_of_items,start_time,end_time,time_taken,test_result,max_resident_size
QUICKSORT,1577,2021-04-06 23:47:05,2021-04-06 23:47:05,4.033,True,12572
QUICKSORT,2392,2021-04-06 23:47:05,2021-04-06 23:47:05,7.482,True,12776
QUICKSORT,1575,2021-04-06 23:47:05,2021-04-06 23:47:05,4.132,True,12776
QUICKSORT,5156,2021-04-06 23:47:05,2021-04-06 23:47:05,15.189,True,13036
QUICKSORT,8942,2021-04-06 23:47:05,2021-04-06 23:47:05,30.488,True,13484
QUICKSORT,999,2021-04-06 23:47:05,2021-04-06 23:47:05,2.599,True,13484
QUICKSORT,9537,2021-04-06 23:47:05,2021-04-06 23:47:05,34.892,True,13728
QUICKSORT,6659,2021-04-06 23:47:05,2021-04-06 23:47:05,20.998,True,13728
QUICKSORT,1745,2021-04-06 23:47:05,2021-04-06 23:47:05,4.847,True,13728
QUICKSORT,2326,2021-04-06 23:47:05,2021-04-06 23:47:05,7.032,True,13728
QUICKSORT,8357,2021-04-06 23:47:05,2021-04-06 23:47:05,26.378,True,13728
QUICKSORT,3178,2021-04-06 23:47:05,2021-04-06 23:47:05,11.768,True,13728
QUICKSORT,6782,2021-04-06 23:47:05,2021-04-06 23:47:05,20.653,True,13728
QUICKSORT,1920,2021-04-06 23:47:05,2021-04-06 23:47:05,5.865,True,13728
QUICKSORT,2651,2021-04-06 23:47:05,2021-04-06 23:47:05,7.822,True,13728
QUICKSORT,2864,2021-04-06 23:47:05,2021-04-06 23:47:05,8.371,True,13728
QUICKSORT,2921,2021-04-06 23:47:05,2021-04-06 23:47:05,8.815,True,13728
QUICKSORT,6595,2021-04-06 23:47:05,2021-04-06 23:47:05,23.103,True,13728
QUICKSORT,3868,2021-04-06 23:47:05,2021-04-06 23:47:05,13.354,True,13728
QUICKSORT,5895,2021-04-06 23:47:05,2021-04-06 23:47:05,19.380,True,13728
QUICKSORT,6023,2021-04-06 23:47:05,2021-04-06 23:47:05,21.972,True,13728
QUICKSORT,5990,2021-04-06 23:47:05,2021-04-06 23:47:05,21.134,True,13728
QUICKSORT,1969,2021-04-06 23:47:05,2021-04-06 23:47:05,5.670,True,13728
QUICKSORT,8004,2021-04-06 23:47:05,2021-04-06 23:47:05,26.622,True,13728
QUICKSORT,2965,2021-04-06 23:47:05,2021-04-06 23:47:05,8.592,True,13728
