program_type,number_of_items,start_time,end_time,time_taken,test_result,max_resident_size
SELSORT,2490,2021-04-07 00:07:53,2021-04-07 00:07:53,221.490,True,12728
SELSORT,8535,2021-04-07 00:07:53,2021-04-07 00:07:56,2779.799,True,13284
SELSORT,9275,2021-04-07 00:07:56,2021-04-07 00:07:59,3171.556,True,13596
SELSORT,3221,2021-04-07 00:07:59,2021-04-07 00:08:00,394.222,True,13596
SELSORT,1482,2021-04-07 00:08:00,2021-04-07 00:08:00,85.642,True,13596
SELSORT,1841,2021-04-07 00:08:00,2021-04-07 00:08:00,133.372,True,13596
SELSORT,1161,2021-04-07 00:08:00,2021-04-07 00:08:00,54.284,True,13596
SELSORT,1505,2021-04-07 00:08:00,2021-04-07 00:08:00,91.988,True,13596
SELSORT,9119,2021-04-07 00:08:00,2021-04-07 00:08:03,3202.901,True,13596
SELSORT,8468,2021-04-07 00:08:03,2021-04-07 00:08:06,2868.480,True,13596
SELSORT,9590,2021-04-07 00:08:06,2021-04-07 00:08:10,3771.432,True,13612
SELSORT,1616,2021-04-07 00:08:10,2021-04-07 00:08:10,116.437,True,13612
SELSORT,8979,2021-04-07 00:08:10,2021-04-07 00:08:13,3407.309,True,13612
SELSORT,5869,2021-04-07 00:08:13,2021-04-07 00:08:15,1441.175,True,13612
SELSORT,518,2021-04-07 00:08:15,2021-04-07 00:08:15,10.441,True,13612
SELSORT,8980,2021-04-07 00:08:15,2021-04-07 00:08:18,3439.298,True,13612
SELSORT,99,2021-04-07 00:08:18,2021-04-07 00:08:18,0.424,True,13612
SELSORT,2566,2021-04-07 00:08:18,2021-04-07 00:08:19,270.786,True,13612
SELSORT,8992,2021-04-07 00:08:19,2021-04-07 00:08:22,3472.637,True,13612
SELSORT,9960,2021-04-07 00:08:22,2021-04-07 00:08:26,4207.785,True,13668
SELSORT,75,2021-04-07 00:08:26,2021-04-07 00:08:26,0.255,True,13668
SELSORT,4632,2021-04-07 00:08:26,2021-04-07 00:08:27,905.462,True,13668
SELSORT,4951,2021-04-07 00:08:27,2021-04-07 00:08:28,1019.622,True,13668
SELSORT,556,2021-04-07 00:08:28,2021-04-07 00:08:28,12.255,True,13668
SELSORT,8578,2021-04-07 00:08:28,2021-04-07 00:08:32,3317.908,True,13668
SELSORT,1451,2021-04-07 00:08:32,2021-04-07 00:08:32,93.831,True,13668
SELSORT,8323,2021-04-07 00:08:32,2021-04-07 00:08:35,2946.084,True,13668
SELSORT,8678,2021-04-07 00:08:35,2021-04-07 00:08:38,3336.411,True,13668
SELSORT,9655,2021-04-07 00:08:38,2021-04-07 00:08:42,4188.239,True,13684
SELSORT,2178,2021-04-07 00:08:42,2021-04-07 00:08:42,195.247,True,13684
SELSORT,5987,2021-04-07 00:08:42,2021-04-07 00:08:44,1560.927,True,13684
SELSORT,5063,2021-04-07 00:08:44,2021-04-07 00:08:45,1071.545,True,13684
SELSORT,8219,2021-04-07 00:08:45,2021-04-07 00:08:48,3064.138,True,13684
SELSORT,4708,2021-04-07 00:08:48,2021-04-07 00:08:49,909.663,True,13684
SELSORT,2907,2021-04-07 00:08:49,2021-04-07 00:08:49,381.545,True,13684
SELSORT,4840,2021-04-07 00:08:49,2021-04-07 00:08:50,1073.957,True,13684
SELSORT,4713,2021-04-07 00:08:50,2021-04-07 00:08:51,928.528,True,13684
SELSORT,9427,2021-04-07 00:08:51,2021-04-07 00:08:55,3830.645,True,13684
SELSORT,560,2021-04-07 00:08:55,2021-04-07 00:08:55,14.009,True,13684
SELSORT,4768,2021-04-07 00:08:55,2021-04-07 00:08:56,1014.059,True,13684
SELSORT,802,2021-04-07 00:08:56,2021-04-07 00:08:56,24.971,True,13684
SELSORT,2464,2021-04-07 00:08:56,2021-04-07 00:08:56,227.188,True,13684
SELSORT,1475,2021-04-07 00:08:56,2021-04-07 00:08:57,86.322,True,13684
SELSORT,4252,2021-04-07 00:08:57,2021-04-07 00:08:57,677.953,True,13684
SELSORT,7699,2021-04-07 00:08:57,2021-04-07 00:09:00,2265.676,True,13684
SELSORT,8867,2021-04-07 00:09:00,2021-04-07 00:09:02,2881.493,True,13684
SELSORT,1956,2021-04-07 00:09:02,2021-04-07 00:09:03,146.968,True,13684
SELSORT,8528,2021-04-07 00:09:03,2021-04-07 00:09:05,2895.587,True,13684
SELSORT,6959,2021-04-07 00:09:05,2021-04-07 00:09:08,2044.984,True,13684
SELSORT,2538,2021-04-07 00:09:08,2021-04-07 00:09:08,266.225,True,13684
SELSORT,5085,2021-04-07 00:09:08,2021-04-07 00:09:09,1063.422,True,13684
SELSORT,2967,2021-04-07 00:09:09,2021-04-07 00:09:09,353.835,True,13684
SELSORT,4734,2021-04-07 00:09:09,2021-04-07 00:09:10,919.077,True,13684
SELSORT,5354,2021-04-07 00:09:10,2021-04-07 00:09:11,1165.280,True,13684
SELSORT,1873,2021-04-07 00:09:11,2021-04-07 00:09:11,145.680,True,13684
SELSORT,614,2021-04-07 00:09:11,2021-04-07 00:09:11,15.068,True,13684
SELSORT,7215,2021-04-07 00:09:11,2021-04-07 00:09:14,2119.968,True,13684
SELSORT,5848,2021-04-07 00:09:14,2021-04-07 00:09:15,1441.471,True,13684
SELSORT,8476,2021-04-07 00:09:15,2021-04-07 00:09:18,3025.652,True,13684
SELSORT,6571,2021-04-07 00:09:18,2021-04-07 00:09:20,1793.832,True,13684
SELSORT,2729,2021-04-07 00:09:20,2021-04-07 00:09:20,300.697,True,13684
SELSORT,2619,2021-04-07 00:09:20,2021-04-07 00:09:20,290.467,True,13684
SELSORT,9469,2021-04-07 00:09:20,2021-04-07 00:09:25,4350.539,True,13684
SELSORT,6600,2021-04-07 00:09:25,2021-04-07 00:09:27,1850.255,True,13684
SELSORT,8080,2021-04-07 00:09:27,2021-04-07 00:09:29,2768.265,True,13684
SELSORT,6132,2021-04-07 00:09:29,2021-04-07 00:09:31,1647.056,True,13684
SELSORT,6830,2021-04-07 00:09:31,2021-04-07 00:09:33,2000.700,True,13684
SELSORT,319,2021-04-07 00:09:33,2021-04-07 00:09:33,4.407,True,13684
SELSORT,4194,2021-04-07 00:09:33,2021-04-07 00:09:34,779.567,True,13684
SELSORT,9284,2021-04-07 00:09:34,2021-04-07 00:09:38,3674.199,True,13684
SELSORT,629,2021-04-07 00:09:38,2021-04-07 00:09:38,17.855,True,13684
SELSORT,5569,2021-04-07 00:09:38,2021-04-07 00:09:39,1300.729,True,13684
SELSORT,4903,2021-04-07 00:09:39,2021-04-07 00:09:40,1051.835,True,13684
SELSORT,9547,2021-04-07 00:09:40,2021-04-07 00:09:44,3988.262,True,13684
